City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
636,636,Itarema,BR,-2.9248,-39.9167,84.02,67,53,16.26,"Sea Lounge! Bar, Club & Restaurant"
639,639,Bindura,ZW,-17.3019,31.3306,81.01,40,97,5.77,Mayfair Lodges and Restaurant
642,642,Xambioa,BR,-6.4111,-48.5364,85.26,56,96,1.41,Pousada Do Sol
646,646,Beba,CU,22.4437,-79.7253,84.47,61,100,7.0,Hostal Cubaustria
647,647,Kalmunai,LK,7.4167,81.8167,78.87,87,75,7.07,VS Villa
650,650,Miri,MY,4.4148,114.0089,77.14,94,40,1.14,"Mega Hotel, Miri"
651,651,Port Said,EG,31.2565,32.2841,76.98,78,0,6.91,Aracan Hotel
669,669,Axim,GH,4.8699,-2.2405,79.45,84,99,10.33,Axim Beach Resort And Spa
671,671,Abonnema,NG,4.7084,6.7931,77.83,85,10,6.78,Corper's Lodge Obonoma
674,674,Kokopo,PG,-4.352,152.2633,76.8,82,67,3.09,Kokopo Beach Bungalow Resort
677,677,Tessalit,ML,20.1986,1.0114,86.94,13,2,1.83,
678,678,Sao Joao Dos Patos,BR,-6.495,-43.7022,89.08,38,98,6.89,Montesino Hotel & Restaurante
683,683,Manggar,ID,-2.8833,108.2667,79.02,84,100,3.13,Guest Hotel
686,686,La Union,PE,-5.4,-80.75,84.45,38,20,16.4,Los Portales
689,689,Bonfim,BR,3.0833,-59.95,89.55,46,100,2.57,
691,691,Banjarmasin,ID,-3.3244,114.591,75.34,95,100,4.99,Swiss-Belhotel Borneo Banjarmasin
692,692,Alofi,NU,-19.0595,-169.9187,75.09,83,37,6.91,Taloa Heights
695,695,Tanete,ID,-3.9443,119.7848,75.76,92,100,2.1,Wisma Tri Multi
697,697,Kingman,US,35.1894,-114.053,75.13,23,1,10.0,Rodeway Inn Kingman Route 66
702,702,Bodden Town,KY,19.2833,-81.25,86.0,66,75,7.0,Will T Place
704,704,Sibut,CF,5.718,19.0739,77.02,74,19,0.76,
709,709,Gboko,NG,7.3179,8.9951,80.89,70,87,6.82,Mavillah Apartment and Suites
715,715,Sola,VU,-13.8833,167.55,80.31,74,23,13.33,Leumerus Bungalows
719,719,Trairi,BR,-3.2778,-39.2689,83.7,67,19,12.28,janelas do mar
720,720,Mersing,MY,2.4312,103.8405,75.11,94,100,5.75,Timotel Hotel
723,723,Porangatu,BR,-13.4408,-49.1486,86.43,48,92,2.82,Wembley Park Hotel
725,725,Matara,LK,5.9485,80.5353,77.09,90,94,4.34,Amaloh Boutique Resort
727,727,Manokwari,ID,-0.8667,134.0833,78.48,77,100,4.54,Swiss Belhotel Manokwari
729,729,Yuscaran,HN,13.9333,-86.85,81.64,51,33,2.06,Green Soul
730,730,Edgewater,US,28.9889,-80.9023,75.29,60,20,12.66,Islander Beach Resort
731,731,Gharo,PK,24.7424,67.5856,75.42,58,41,9.78,Fotis Lodge
733,733,Santiago Del Estero,AR,-27.7951,-64.2615,87.82,40,92,15.01,Apartamentos Castelli 90
735,735,El Bordo,CO,2.117,-76.9821,79.65,67,71,1.39,Hotel los Balcones Centro
742,742,Campo Maior,BR,-4.8278,-42.1686,85.62,55,97,3.58,Elite Hotel
746,746,Tombouctou,ML,20.0,-3.0,87.55,17,0,9.8,
