City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Karla,EE,59.3723,24.9275,50.58,80,75,12.66
153,Pizarro,CO,4.9533,-77.366,79.3,82,100,7.7
154,Isetskoye,RU,56.4858,65.3226,33.39,96,100,7.61
155,Mehamn,NO,71.0357,27.8492,35.78,86,0,3.44
156,Tobol,KZ,52.6844,62.5794,44.89,84,100,13.73
157,Karratha,AU,-20.7377,116.8463,73.24,65,0,8.52
158,Kallaste,EE,58.655,27.1592,50.23,77,84,13.33
159,Walvis Bay,NA,-22.9575,14.5053,61.09,77,0,11.5
160,Cabedelo,BR,-6.9811,-34.8339,84.87,64,19,13.96
161,Dikson,RU,73.5069,80.5464,6.75,94,97,10.29
162,Charters Towers,AU,-20.1,146.2667,72.79,88,73,7.31
163,Baruun-Urt,MN,46.6806,113.2792,24.82,28,6,8.19
164,Lengshuitan,CN,26.4111,111.5956,59.43,96,100,4.07
165,Biak,ID,-0.9131,122.8766,76.06,79,89,0.92
166,Samarai,PG,-10.6167,150.6667,82.22,79,97,15.03
167,Tiksi,RU,71.6872,128.8694,16.7,84,100,14.81
168,Huarmey,PE,-10.0681,-78.1522,71.13,68,15,11.1
169,Mahebourg,MU,-20.4081,57.7,73.69,78,75,3.44
170,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,57,0,14.97
171,Deputatskiy,RU,69.3,139.9,-10.75,85,57,2.57
172,Whitecourt,CA,54.1502,-115.6855,27.64,63,1,0.0
173,Espanola,US,35.9911,-106.0806,66.18,29,99,9.75
174,Valparaiso,CL,-33.0393,-71.6273,58.48,84,90,13.8
175,Bethel,US,41.3712,-73.414,65.44,71,75,1.01
176,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,12.66
177,Pochutla,MX,15.7432,-96.4661,85.82,57,57,5.37
178,Sri Aman,MY,1.2376,111.4621,77.05,99,100,0.0
179,Hithadhoo,MV,-0.6,73.0833,82.49,76,100,17.74
180,Nara,JP,34.6851,135.8049,59.97,78,7,2.57
181,Mar Del Plata,AR,-38.0023,-57.5575,60.1,83,90,8.99
182,Nynashamn,SE,58.9034,17.9479,48.0,91,28,8.28
183,San Quintin,MX,30.4833,-115.95,65.95,68,23,8.48
184,Vanimo,PG,-2.6741,141.3028,77.41,87,100,0.76
